epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,4550.55,1.04446,0.65757,1.05803,0.88316,0.84571,0.92375,0.71888,0.84463,0.58106,1.01688,0.0014086,0.0014086,0.0014086
88,4604.61,1.03911,0.65639,1.06527,0.86335,0.85333,0.92388,0.71663,0.84326,0.58529,1.02238,0.0013087,0.0013087,0.0013087
89,4659.42,1.05782,0.67679,1.07726,0.86255,0.85204,0.92071,0.72239,0.83404,0.59442,1.02526,0.0012088,0.0012088,0.0012088
90,4713.64,1.03871,0.65134,1.06773,0.88561,0.84061,0.92274,0.71401,0.84747,0.57731,1.02455,0.0011089,0.0011089,0.0011089
91,4761.63,0.94835,0.58518,1.02972,0.86657,0.85848,0.91781,0.70936,0.84653,0.60475,1.0166,0.001009,0.001009,0.001009
92,4809.45,0.91725,0.54504,1.02533,0.86958,0.85404,0.92173,0.71255,0.83391,0.59333,1.01484,0.0009091,0.0009091,0.0009091
93,4857.9,0.92427,0.54115,1.02413,0.8692,0.85989,0.9207,0.72258,0.8261,0.57963,1.00963,0.0008092,0.0008092,0.0008092
94,4905.61,0.91261,0.52347,1.02464,0.8661,0.86376,0.9231,0.72014,0.83668,0.57313,1.00981,0.0007093,0.0007093,0.0007093
95,4953.17,0.90997,0.51757,1.0186,0.86427,0.85077,0.91736,0.71569,0.8333,0.58164,1.01722,0.0006094,0.0006094,0.0006094
96,5000.94,0.91122,0.51971,1.02048,0.88789,0.84418,0.92649,0.72965,0.81324,0.56692,1.00408,0.0005095,0.0005095,0.0005095
97,5048.83,0.90064,0.51305,1.02238,0.87569,0.85738,0.92425,0.73138,0.81091,0.55897,1.00937,0.0004096,0.0004096,0.0004096
98,5096.38,0.86691,0.49284,1.00222,0.86509,0.86934,0.9254,0.7258,0.82895,0.56031,1.01107,0.0003097,0.0003097,0.0003097
99,5144.84,0.88408,0.49918,1.0045,0.8748,0.85127,0.92121,0.72523,0.80683,0.57109,1.00744,0.0002098,0.0002098,0.0002098
100,5192.79,0.8873,0.49302,1.00767,0.86482,0.86416,0.92335,0.72574,0.8121,0.56238,1.00744,0.0001099,0.0001099,0.0001099
