path_a,split_a,stem_a,path_b,split_b,stem_b,min_phash_dist,dhash_dist,cosine_sim,good_matches,ransac_inliers,inlier_ratio,containment_a_in_b,containment_b_in_a,homography_found
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_164.jpg,test,SANAS_SOCORRO_164,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_159.jpg,train,SANAS_SOCORRO_159,-1,-1,0.897379994392395,2305,2240,0.9718004338394793,0.5537249,0.5537249,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_244.jpg,test,SANAS_SOCORRO_244,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_246.jpg,train,SANAS_SOCORRO_246,-1,-1,0.8925238251686096,27,9,0.3333333333333333,0.7597129,1.0129505,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_54.jpg,test,SANAS_NUEVAS_54,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\ROYA_P_A_39.jpg,train,ROYA_P_A_39,-1,-1,0.9205836653709412,22,5,0.22727272727272727,1.4947962e-05,1.3453166e-05,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_RECORTE_28.jpg,train,COCO_RECORTE_28,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\COCO_RECORTE_84.jpg,val,COCO_RECORTE_84,-1,-1,0.9066791534423828,0,0,0.0,0.0,0.0,False
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_NUEVAS_548.jpg,val,MINADO_RECORTES_88,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\val\MINADO_RECORTES_88.jpg,test,SANAS_NUEVAS_548,30,12,-1.0,51,9,0.17647058823529413,4.08581e-07,2.2888183e-07,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_477.jpg,test,SANAS_SOCORRO_477,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_479.jpg,train,SANAS_SOCORRO_479,-1,-1,0.9499198794364929,222,116,0.5225225225225225,0.9247051,0.9247051,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\MINADO_RECORTES_69.jpg,test,MINADO_RECORTES_69,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\MINADO_RECORTES_82.jpg,train,MINADO_RECORTES_82,-1,-1,0.8659326434135437,18,2,0.1111111111111111,3.8088194e-06,4.2697593e-06,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\COCO_M_A_35.jpg,test,COCO_M_A_35,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_15.jpg,train,COCO_M_A_15,-1,-1,0.9016090631484985,27,4,0.14814814814814814,2.2706532e-08,1.3245477e-08,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\COCO_P_A_39.jpg,test,COCO_P_A_39,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\COCO_M_A_38.jpg,train,COCO_M_A_38,-1,-1,0.9371078610420227,8,5,0.625,0.0012768881,0.0014187645,True
C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\test\SANAS_SOCORRO_469.jpg,test,SANAS_SOCORRO_469,C:\Users\luise\OneDrive\Documentos\DECAFIA_v2\01_dataset\decafia_clean\images\train\SANAS_SOCORRO_466.jpg,train,SANAS_SOCORRO_466,-1,-1,0.9409680366516113,12,4,0.3333333333333333,0.0037326878,0.004199274,True
